Pos.;Art;Typ;Identifikation;Inventarnummer;Barcode
1;Anschlagmittel / Zuggeräte;Anschlagkette;Anschlagkette Kompakt 10-48-2 01;;2000000609
2;Anschlagmittel / Zuggeräte;Anschlagkette;Anschlagkette HRG 10-48-2 01;;2000000608
3;Anschlagmittel / Zuggeräte;Anschlagkette;Anschlagkette Kompakt 10-48-2 02;;2000000610
4;Anschlagmittel / Zuggeräte;Büffelheber;Büffelheber 10-64-2 01;;2000000226
5;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 13/23/2;13/23/2;
6;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 09/21/2;9/21/2;
7;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 08/21/2;8/21/2;
8;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 24/19/2;24/19/2;
9;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 10/12/2;10.12.2002;
10;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 31/22/2;31/22/2;
11;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 23/18/2;23/18/2;
12;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 21/18/2;21/18/2;
13;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 17/18/2;17/18/2;
14;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 22/18/2;;
15;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 27/18/2;27/18/2;
16;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 34/21/2;;
17;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 18/18/2;18/18/2;
18;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 20/2013;20/2013;
19;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 03/19/2;3/19/2;
20;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 30/20/2;30/20/2;
21;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 15/23/2;15/23/2;
22;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 06/19/2;6/19/2;
23;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 32/20/2;32/20/2;
24;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 08/20/2;8/20/2;
25;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 01/20/2;1/20/2;
26;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 26/17;26/17;
27;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 14/20/2;14/20/2;
28;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 12/18/2;12/18/2;
29;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 29/21/2;29/21/2;
30;Anschlagmittel / Zuggeräte;Feuerwehrleinen (Fangleinen);Feuerwehrleine 09/20/2;9/20/2;
